City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Humidity Category,Cloudiness Category,Wind Category
62,san patricio,28.017,-97.5169,26.05000000000001,72,86,7.1,US,1682458319,Uncomfortable,Mostly cloudy,Moderate breeze
63,mildura,-34.2,142.15,18.08000000000004,54,92,5.4,AU,1682458267,Comfortable,Overcast,Moderate breeze
64,taltal,-25.4,-70.4833,18.810000000000002,81,24,2.99,CL,1682458320,Uncomfortable,Mostly sunny,Light breeze
65,novo aripuana,-5.1206,-60.3797,24.53000000000003,95,87,1.31,BR,1682458320,Uncomfortable,Mostly cloudy,Light air
66,port elizabeth,-33.918,25.5701,19.620000000000005,95,100,2.06,ZA,1682458320,Uncomfortable,Overcast,Light breeze
67,bredasdorp,-34.5322,20.0403,14.650000000000034,83,8,1.11,ZA,1682458196,Uncomfortable,Sunny/Clear,Light air
68,brough,53.7,-0.5833,5.340000000000032,78,80,0.45,GB,1682458322,Uncomfortable,Mostly cloudy,Calm
69,hamilton,39.1834,-84.5333,16.80000000000001,38,75,2.06,US,1682458272,Comfortable,Mostly cloudy,Light breeze
70,toamasina,-18.1667,49.3833,24.120000000000005,88,39,3.48,MG,1682458323,Uncomfortable,Partly cloudy,Gentle breeze
71,gonabad,34.3529,58.6837,22.510000000000048,24,84,4.01,IR,1682458324,Comfortable,Mostly cloudy,Gentle breeze
72,greeley,40.4233,-104.7091,12.660000000000025,67,71,0.89,US,1682458053,Uncomfortable,Mostly cloudy,Light air
73,wailua homesteads,22.0669,-159.378,27.24000000000001,70,100,7.2,US,1682458325,Uncomfortable,Overcast,Moderate breeze
74,karratha,-20.7377,116.8463,24.53000000000003,44,100,3.02,AU,1682458325,Comfortable,Overcast,Gentle breeze
75,papao,-17.75,-149.55,27.82000000000005,84,100,6.35,PF,1682458325,Uncomfortable,Overcast,Moderate breeze
76,georgetown,5.4112,100.3354,26.960000000000036,94,20,1.03,MY,1682458199,Uncomfortable,Fair,Light air
77,badger,64.8,-147.5333,1.1100000000000136,45,40,4.12,US,1682458326,Comfortable,Partly cloudy,Gentle breeze
78,tazovsky,67.4667,78.7,-11.149999999999977,98,100,3.4,RU,1682458327,Uncomfortable,Overcast,Gentle breeze
79,cromwell,41.5951,-72.6454,15.710000000000036,45,100,4.63,US,1682458327,Comfortable,Overcast,Gentle breeze
80,san rafael del sur,11.8485,-86.4384,34.54000000000002,56,76,3.57,NI,1682458328,Uncomfortable,Mostly cloudy,Gentle breeze
81,hawaiian paradise park,19.5933,-154.9731,27.80000000000001,69,0,4.63,US,1682458328,Uncomfortable,Sunny/Clear,Gentle breeze
82,dingcheng,32.1272,115.0394,10.379999999999995,89,0,3.6,CN,1682458329,Uncomfortable,Sunny/Clear,Gentle breeze
83,atafu village,-8.5421,-172.5159,29.090000000000032,75,62,6.75,TK,1682458329,Uncomfortable,Partly sunny,Moderate breeze
84,iqaluit,63.7506,-68.5145,-1.1499999999999773,100,100,1.54,CA,1682458181,Uncomfortable,Overcast,Light breeze
85,zhaoqing,23.0512,112.4597,14.700000000000045,89,0,1.3,CN,1682458330,Uncomfortable,Sunny/Clear,Light air
86,birobidzhan,48.8,132.95,3.740000000000009,51,26,3.49,RU,1682458331,Comfortable,Mostly sunny,Gentle breeze
87,ciudad de armeria,18.9333,-103.9667,29.010000000000048,49,100,3.99,MX,1682458331,Comfortable,Overcast,Gentle breeze
88,invercargill,-46.4,168.35,11.680000000000007,82,100,0.89,NZ,1682458294,Uncomfortable,Overcast,Light air
89,labrador city,52.9463,-66.9114,10.950000000000045,32,40,1.54,CA,1682458225,Comfortable,Partly cloudy,Light breeze
90,avarua,-21.2078,-159.775,29.03000000000003,65,90,3.09,CK,1682458271,Uncomfortable,Mostly cloudy,Gentle breeze
91,pandan,14.0453,124.1694,25.960000000000036,84,27,3.63,PH,1682458307,Uncomfortable,Mostly sunny,Gentle breeze
92,baskale,38.0453,44.0172,4.840000000000032,70,69,0.43,TR,1682458333,Uncomfortable,Partly sunny,Calm
93,lethem,3.3803,-59.7968,25.03000000000003,94,100,6.17,GY,1682458333,Uncomfortable,Overcast,Moderate breeze
94,lensk,60.7253,114.9278,-2.9399999999999977,89,100,1.93,RU,1682458334,Uncomfortable,Overcast,Light breeze
95,lishui,28.4604,119.9103,13.5,97,94,1.25,CN,1682458334,Uncomfortable,Overcast,Light air
96,shingu,33.7333,135.9833,18.02000000000004,98,100,6.7,JP,1682458324,Uncomfortable,Overcast,Moderate breeze
97,yambio,4.5721,28.3955,19.400000000000034,88,100,1.15,SS,1682458338,Uncomfortable,Overcast,Light air
98,jamestown,42.097,-79.2353,9.180000000000007,61,100,6.17,US,1682458338,Uncomfortable,Overcast,Moderate breeze
99,conde,-7.2597,-34.9075,26.700000000000045,89,75,4.12,BR,1682458340,Uncomfortable,Mostly cloudy,Gentle breeze
100,port lincoln,-34.7333,135.8667,20.720000000000027,54,100,6.45,AU,1682458230,Comfortable,Overcast,Moderate breeze
101,inhambane,-23.865,35.3833,21.910000000000025,83,0,3.31,MZ,1682458341,Uncomfortable,Sunny/Clear,Gentle breeze
102,toliara,-23.35,43.6667,20.189999999999998,83,3,5.34,MG,1682458341,Uncomfortable,Sunny/Clear,Moderate breeze
103,saint-francois,46.4154,3.9054,7.2000000000000455,79,0,1.54,FR,1682458341,Uncomfortable,Sunny/Clear,Light breeze
104,yeppoon,-23.1333,150.7333,18.879999999999995,75,26,8.41,AU,1682458342,Uncomfortable,Mostly sunny,Fresh breeze
105,bilibino,68.0546,166.4372,-1.6200000000000045,68,25,1.34,RU,1682458251,Uncomfortable,Mostly sunny,Light air
106,khandud,36.9513,72.318,0.32000000000005,63,78,0.68,AF,1682458342,Uncomfortable,Mostly cloudy,Light air
107,usinsk,65.9939,57.5281,-6.949999999999989,94,10,3.34,RU,1682458300,Uncomfortable,Sunny/Clear,Gentle breeze
108,port mathurin,-19.6833,63.4167,25.980000000000018,81,12,7.22,MU,1682458343,Uncomfortable,Fair,Moderate breeze
109,port saint john's,-31.6229,29.5448,22.140000000000043,90,81,3.25,ZA,1682458344,Uncomfortable,Mostly cloudy,Gentle breeze
110,vorkuta,67.5,64.0,-13.370000000000005,100,52,3.74,RU,1682458344,Uncomfortable,Partly cloudy,Gentle breeze
111,contes,43.8128,7.3144,17.210000000000036,55,0,1.03,FR,1682458345,Comfortable,Sunny/Clear,Light air
112,xinyuan,37.3,99.0,-0.6299999999999955,23,0,1.46,CN,1682458345,Comfortable,Sunny/Clear,Light air
113,kingscliff,-28.2667,153.5667,19.29000000000002,88,75,4.12,AU,1682458346,Uncomfortable,Mostly cloudy,Gentle breeze
114,frederico westphalen,-27.3592,-53.3944,16.910000000000025,98,100,3.34,BR,1682458346,Uncomfortable,Overcast,Gentle breeze
115,sitka,57.0531,-135.33,6.939999999999998,70,100,3.6,US,1682458347,Uncomfortable,Overcast,Gentle breeze
116,dunda,-8.1167,34.25,18.390000000000043,93,58,1.06,TZ,1682458348,Uncomfortable,Partly cloudy,Light air
117,huarmey,-10.0681,-78.1522,26.32000000000005,72,75,4.78,PE,1682458348,Uncomfortable,Mostly cloudy,Gentle breeze
118,cabo san lucas,22.8909,-109.9124,29.78000000000003,36,0,6.17,MX,1682458349,Comfortable,Sunny/Clear,Moderate breeze
119,usogorsk,63.4106,48.6872,0.6200000000000045,99,100,1.65,RU,1682458349,Uncomfortable,Overcast,Light breeze
120,rongelap,11.1635,166.8941,25.450000000000045,87,100,10.59,MH,1682458350,Uncomfortable,Overcast,Strong breeze
121,sao jose da coroa grande,-8.8978,-35.1478,25.5,85,80,2.79,BR,1682458350,Uncomfortable,Mostly cloudy,Light breeze
122,mont-dore,-22.2833,166.5833,25.0,99,99,2.92,NC,1682458204,Uncomfortable,Overcast,Light breeze
