City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,akjoujt,19.6969,-14.4164,304.41,23,4,6.02,MR,1682458312
124,acarau,-2.8856,-40.12,299.33,84,70,4.12,BR,1682458353
125,olyokminsk,60.3736,120.4264,271.21,85,100,1.23,RU,1682458353
126,cockburn town,21.4612,-71.1419,299.07,70,20,3.09,TC,1682458089
127,muisne,0.6,-80.0333,301.07,73,32,2.66,EC,1682458353
128,safford,32.834,-109.7076,303.66,10,0,5.66,US,1682458354
129,katsuren-haebaru,26.3369,127.8719,293.16,92,100,5.66,JP,1682458354
130,marhaura,25.9667,84.8667,299.11,28,3,2.5,IN,1682458354
131,taro,-8.3862,115.28,295.15,96,48,0.22,ID,1682458354
132,yerofey pavlovich,53.9667,121.9667,269.81,58,38,1.67,RU,1682458356
133,bulgan,48.8125,103.5347,279.12,56,97,5.23,MN,1682458356
134,afaahiti,-17.75,-149.2833,300.08,86,100,5.72,PF,1682458356
135,itaguacu,-19.8019,-40.8556,294.9,91,50,1.66,BR,1682458358
136,praia da vitoria,38.7333,-27.0667,292.29,77,40,5.08,PT,1682458313
137,west island,-12.1568,96.8225,299.14,83,100,7.72,CC,1682458359
138,la baneza,42.3003,-5.8977,291.04,74,99,2.92,ES,1682458360
139,amalapuram,16.5833,82.0167,298.65,87,68,1.29,IN,1682458360
140,selfoss,63.9331,-20.9971,274.84,83,84,3.35,IS,1682458360
141,aleksandrovsk-sakhalinskiy,50.8975,142.1561,277.68,62,100,11.44,RU,1682458361
142,lodja,-3.4833,23.4333,295.45,92,91,0.46,CD,1682458361
143,tsiombe,-25.3,45.4833,290.85,77,6,1.44,MG,1682458361
144,nuriootpa,-34.4833,139.0,294.54,52,100,5.16,AU,1682458362
145,namtsy,62.7161,129.6658,269.37,93,97,2.31,RU,1682458366
146,daru,-9.0763,143.2092,300.35,85,100,5.62,PG,1682458367
147,alliance,40.9153,-81.1059,284.93,53,100,3.55,US,1682458098
148,nova sintra,14.8667,-24.7167,293.41,73,18,6.94,CV,1682458368
149,springfield,37.2153,-93.2982,291.5,42,40,5.66,US,1682458182
150,villa gesell,-37.2639,-56.973,292.07,90,18,3.66,AR,1682458369
151,ust-nera,64.5667,143.2,264.24,95,95,2.06,RU,1682458198
152,zeya,53.75,127.2667,273.03,51,82,2.3,RU,1682458370
153,magistral'nyy,56.1725,107.4458,272.56,94,99,1.03,RU,1682458370
154,chonchi,-42.6128,-73.8092,285.71,99,100,0.65,CL,1682458293
155,aswan,24.0934,32.907,302.76,12,0,3.6,EG,1682458371
156,chinhoyi,-17.3667,30.2,289.57,51,6,1.82,ZW,1682458371
157,winnemucca,40.973,-117.7357,288.18,23,0,1.54,US,1682458371
158,balabac,7.9868,117.0645,300.63,80,100,3.8,PH,1682458372
159,abeche,13.8292,20.8324,303.87,21,77,2.65,TD,1682458372
160,kampene,-3.6,26.6667,292.52,99,100,1.71,CD,1682458372
161,sayyan,15.1718,44.3244,290.18,50,67,0.69,YE,1682458373
162,kiunga,-6.1219,141.2906,297.52,98,97,0.33,PG,1682458373
163,ippy,6.2679,21.2247,295.81,86,98,3.23,CF,1682458373
164,mbulu,-3.85,35.5333,288.51,94,99,2.91,TZ,1682458374
165,flying fish cove,-10.4217,105.6791,300.36,75,100,3.23,CX,1682458240
166,mokolo,10.7398,13.8019,302.82,20,57,0.84,CM,1682458374
167,kingston,17.997,-76.7936,301.68,67,20,6.17,JM,1682458375
168,hammerfest,70.6634,23.6821,273.4,74,75,0.0,NO,1682458377
169,kapa'a,22.0752,-159.319,301.14,70,100,7.2,US,1682458377
170,college station,30.628,-96.3344,297.08,68,40,3.09,US,1682458314
171,katabu,-4.9333,122.5167,297.31,91,99,1.02,ID,1682458378
172,iquique,-20.2208,-70.1431,295.17,78,20,2.14,CL,1682458378
173,kapuskasing,49.4169,-82.4331,273.2,93,100,4.12,CA,1682458179
174,rurrenabaque,-14.4413,-67.5278,299.46,77,99,0.66,BO,1682458379
175,whitehorse,60.7161,-135.0538,278.72,38,20,5.14,CA,1682458380
176,made,-7.1174,112.3915,296.96,94,49,1.62,ID,1682458381
